OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
					Q9Y2I2				
					Q6DGY7				
					Q00709				
					Q92539				
					Q9NS39				
					O35927				
					Q7RTR2				
					A6NKL6				
					Q7RTR2				
					Q7RTR2				
					P11246				
					Q7RTR2				
					Q90421				
					Q7RTR2				
					Q96LD4				
					Q7RTR2				
					Q96LD4				
					Q8IVU1				
					Q8BKX6				
					Q7RTR2				
					Q91453				
					Q6AZB8				
					Q071E0				
